CDS,CDS original script,PoS,ADS,English,Country,Language branch,Group of languages,Language,Area,Source,Year,Comments,Examples,Semantic Domain
ɛemmaš,,v,,sit down,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,ɛmmaš (old) is being replaced by a more general titti (new),,"body, bodily function, action"
ɛemmi,,n,,uncle (paternal),Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ɛemmu,,n,ɛemm-,uncle (paternal),Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,"humans, kinship"
ɛemtu,,n,ɛemt-,aunt (paternal),Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,,,"humans, kinship"
ɛenna,,v,,eat,Morocco,Amazigh (Berber),,Tarifiyt,"Ayt Said, Iqeraiyen",,2014-5,titti is used as a BT term for 'eat' in Midar (Ayt Tuzin),ɛenna ḥuḥḥu ‘eat/drink milk!’ (BT),"body, bodily function, action, food"
ɛetti,,n,,aunt (paternal),Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ɛetti-s,,n,ɛemti,aunt (paternal),Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,"The baby talk derives from the adult term, and the adult term is from Arabic. In some Moroccan Arabic and Moroccan Berber varieties, the term ɛetti is used as a standard (adult) term.",,"humans, kinship"
ɛēwu,,interj,,hide-and-seek: said when playing hide-and-seek,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"game, interjection"
ɛɛa,,interj,,"dirt, dirty, leave it",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ɛɛa ɛɛa,,"n, v",,"poo, poop",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
ɛɛaw,,n,,cat,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
ɛiɛu,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"food, drink"
ɛiɛu,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Makouda/Tigzirt sur mer,,1998,,,"food, drink"
ɛiw,,interj,,peekaboo,Morocco,,,Arabic (Moroccan),Casablanca,,,,,
ɛmmu,,n,tafunast,cow,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Elouatiq p.c.,2024,,,
ɛmu,,n,,cow,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,animals
ɛnaɛnna,,n,,food,Morocco,Amazigh (Berber),,Tarifiyt,"Ayt Said, Iqeraiyen",,2014,titti is used as a BT term for 'eat' in Midar (Ayt Tuzin),ɛenna ḥuḥḥu ‘eat/drink milk!’ (BT),"body, bodily function, action, food"
ɛuɛ(ɛ)u,,n,alúġəm,camel,Libya,Amazigh (Berber),,Awjila,Awjila,,2013,Cf. Kabyle BT term ɛuɛɛuš ‘milk’.,,animals
ɛuɛɛu,,n,aġyuy 'donkey'; aserḏun 'mule',"donkey, mule",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,2015,"In many other parts of Morocco, the BT term for 'donkey' is šašša (from animal call šša, šša used to stop a donkey). In the Riff and in Ketama, šašša is not used as BT for 'donkey'.",,animals
ɛuɛɛu,,n,?,camel,Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,,,animals
ɛuɛɛuš,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Not used in At Zmenzer. Maybe linked with iġi/aġu ‘milk, whey (butter-milk, sour milk)’, depending on areas. Cf. ax ‘milk’ in Tuareg.",,"food, drink"
ɛuɛɛuš,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Not used in At Zmenzer. Maybe linked with iġi/aġu ‘milk, whey (butter-milk, sour milk)’, depending on areas. Cf. ax ‘milk’ in Tuareg.",,"food, drink"
ɛuɛu,,n,ayekfi,milk,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,The baby term ɛuɛu might be related to the pan-Berber word for “milk” aġu (ɛ > ġ?),,food
ɛuɛu,,n,l-ɛawd,"horse (donkey, mule)",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,animals
ɛyyu,,n,aɣyuy 'donkey'; aserḏun 'mule',"donkey, mule",Syria,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2024,"As in Arabic (even in Syria, cf. Ferguson)",,animals
f(r)io,,adj,,cold,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
faf̣f̣a,,n,fus,hand(s),Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"body, body part"
faf̣f̣a,,n,fus,hand(s),Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"body, body part"
feffu,,n,,"fire, hot",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
"fff, fuffu",,"n, adj, interj","sxun, ḥaṛṛ (l-ɛafya 'fire')","hot, it's hot, burn, it burns",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Cf. Berber adult afa, BT fuffu; ttšši.",,"warning, negative, quality"
"fff, fuffu",,"interj, n",,fire! That burns!,Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"warning, quality, action"
"fff, fuffu",,"adj, n, v",afa 'hot',"hot, fire",Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,,,"warning, negative, danger"
ffff,,interj,,hot (blowing on the hot cup/plate),Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
ffuḥ (i-ffuḥ),,v:conj,"fuḥ ‘to smell bad, to stink’",bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"From the verb fuḥ (adult speech) ‘to smell bad, to stink’. Antonym of BT bbaḥ '(it is) nice'. Verb. Conjugated.","Yeffuḥ win ay d-yeqqaren akka. ‘A person who says this, is not good.’","quality, negative"
ffuḥ (i-ffuḥ),,v:conj,,bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,"Verb, conjugated (i-ffuḥ, te-ffuḥ, etc.)",,"quality, negative"
ffuḥ (i-ffuḥ),,v:conj,,bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,At Zmenzer,,2014,"Verb, conjugated (i-ffuḥ, te-ffuḥ, etc.)",,"quality, negative"
ffuḥ (ye-ffuḥ),,v:conj,"fuḥ ‘to smell bad, to stink’",bad: it's bad,Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"From the verb fuḥ (adult speech) ‘to smell bad, to stink’. Antonym of BT bbaḥ '(it is) nice'. Verb. Conjugated.","Yeffuḥ win ay d-yeqqaren akka. ‘A person who says this, is not good.’","quality, negative"
fiffi,,n,"awfilṯ, agfilṯ",egg,Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Hmed,,2025,,,food
fifi,فيفي,"n, v",,poo,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
fifi (fiffi?) ,,"n, v",,"to poo, poop",Libya,Amazigh (Berber),,Zwara,,,2014,,,
fima,,n,fumm,mouth,Morocco,Semitic,Arabic,Arabic (Moroccan),"Marrakesh, Casablanca, Rabat, Tetouane",,2014,"Often, DIM are used in baby-talk.",,"body, body parts"
fima,,n,fumm,mouth,Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,BT=diminutive,,body parts
footsie,,n,"foot, walk","foot, walk","USA, UK",Germanic,,English,,Ferguson 1964,1964,,,
fṛeḥ,,v,,"to kiss, kiss",Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
fst!,,interj,fst!,"shut up, be quiet (interj.)",Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,,,"interjection, action, negative"
fuchi,,adj,sussio,dirty,Ecuador,Romance,,Spanish,Ecuador,,2024,"dirty/disgusting' (can be smell). In Ferguson the area is not specified. Used in Ecuador. In Ferguson mentioned alongside chocho, not used in Ecuador by my consulants (in Spain chocho can be used to refer to clitoris, same as the name of one vegetable, altramuz).",,
fuchi,,adj,sussio,dirty,Spain,Romance,,Spanish,,Ferguson 1964,1964,,,
fuffu,,n,"(ṯ)imssi ‘fire’, iḥma ‘it is hot’","fire, hot",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","aḥḥ fuffu 'watch out, fire', aḥḥ immaḥ ‘watch out, it’s hot’. Cf. i-mmaḥ",,"warning, negative, quality"
fuffu,,v,lɛafit,fire,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,Fuffu is probably from the pan-Berber root FW for fire or light; the adult term lɛafit is from Arabic,,warning
fuffu,,"n, adj, v",iḥma 'hot'; ṯimssi 'fire',"hot, fire",Morocco,Amazigh (Berber),,Tarifiyt,"Midar (Ayt Tuzin), Iqeraiyen",,2014-15,"In the Riff, unlike in Ketama, fuffu alone is not used for ‘hot!’. Rather: aḥḥ, ḥḥa! 'be careful, hot!'",,"quality, warning"
fuffu,,"n, adj, v, interj",ṯimes,"fire, hot",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Etymology: from the old word for ‘fire/light’: afa, tafat, tifawt. (In modern Kabyle, tafat means ‘light’.)",,"quality, warning"
fuffu,,"n, adj, v, interj",ṯimes,"fire, hot",Algeria,Amazigh (Berber),,Kabyle,Iwaḍiyen,,2015,"Etymology: from the old word for ‘fire/light’: afa, tafat, tifawt. (In modern Kabyle, tafat means ‘light’.)",,"quality, warning"
fuffu,,"n, v, adj, interj",,"fire, hot",Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,Widespread. Syn. /tšffu/.,,"warning, negative, quality"
fuffu,,"n, v, adj, interj",,"fire, hot",Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,YES,,"warning, negative, quality"
fuffu,,"n, adj",,"hot, fire",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,warning
fuffu,,"n, adj",,"hot, fire",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,warning
fuffu,,"n, adj, interj",,"fire, hot",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning"
fuffu,,"n, adj, interj",,"fire, hot",Egypt,Amazigh (Berber),,Siwa,Siwa,Souag p.c.,2014,,,"quality, negative, warning"
fuffu,,"n, adj",,"fire, hot",Libya,Amazigh (Berber),,Awjila,Awjila,,2013,,,"warning, negative, quality"
fuffu,,"n, interj",,"fire! hot, it burns",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"warning, quality, action"
fuffu,,"n, v, adj",,"fire, hot",Morocco,Amazigh (Berber),Senhaja,Mezduy,Ayt Mezduy,,2015,,,"warning, negative, quality"
fuffu,,"n, adj",,"fire, hot",Morocco,Amazigh (Berber),Senhaja,Mezduy,,,2025,,,"warning, negative, quality"
fuffu,,"n, adj, interj",,"fire, hot",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,,2024,,,"warning, negative, danger, quality"
fuffu,,"n, adj, interj","lɛafit/lafit ‘fire’, iḥma/irġa ‘it’s hot’","fire, hot",Morocco,Amazigh (Berber),,Tashelhit,"Tarudant, Taznaxt",,2015,,,"warning, negative, danger, quality"
fuffu,,"n, adj, interj",,"fire, hot",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,"warning, negative, danger, quality"
fuffu,,"n, adj, interj",,"fire, hot",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,warning
fuffu (foffo),,"n, adj",,"fire, hot",Libya,Amazigh (Berber),,Zwara,,,2014,,,
"fuffu, fff",,"n, adj, interj","l-ɛafya, sxun, ḥaṛṛ","fire, stove, it burns, hot",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,,,"warning, quality"
fufu,فوفو,n,,fire,Libya,Amazigh (Berber),,Nafusa,Yafran,,2015,,,
"fufu, fuffu, ffu",,"n, adj, interj","lɛafya (n), sxun (adj.)","fire, hot",Morocco,Semitic,Arabic,Arabic (Moroccan),"Casablanca, Fes",,2014,"ffu in Fes. Not used by a speaker from Marrakesh (see tššš, tšša).",ɛandek fuffu! 'watch out it’s hot!',"warning, object"
ġadu,,v,ašk=id,come (here)!,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,"not used in Ourzazate, used only by some/in parts of Ayt Baamran (according to Abdellah)",,"body, action, baby"
gatico,,n,,cat,Spain,Romance,,Spanish,"Spain, Navarra",,2024,,,
gatito,,n,,cat,"Spain, Ecuador",Romance,,Spanish,"Spain, Navarra, Ecuador",,2024,,,
ġaw ġaw,,"v, interj",bid!,stop,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,"not used in Ourzazate, not used by everyone in Ayt Baamran according to Abdellah",,"warning, negative, action"
"geġġ geġġ, geġġu-geġġu",,interj,,laugh/smile (said to the baby to make him laugh),Algeria,Semitic,Arabic,Arabic (Algerian),Chaouia,,2024,,,game
"geġġ geġġ, geġġu-geġġu",,interj,,laugh/smile (said to the baby to make him laugh),Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,game
geġġa,,interj,~ (no transl.) illa katlɛb mɛ bébé; can be said sarcastically/ironically: ~ nta berhuš ‘your behaviour is childish!’,"laugh/smile ~ said to the baby when you play with it (esp. touching the face/cheek) to make it smile/laugh; the baby is not able to talk yet;
 “cute”",Morocco,Semitic,Arabic,Arabic (Moroccan),Casablanca,,2014,Used with babies/ very young children (who cannot speak yet). Can be used ironically with somebody who is childish.,,game
geġġa,,interj,,"smile/laugh, first sound that a baby makes as a sign of being fine",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"interjection, baby, action"
"geġġa, ngeġġa",,interj,,laugh/smile ~ onomatopoeia mimicking a baby,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,Onomatopoeia. In Midar (not in Iqeraiyen) also ngeġġešt; sound of a kiss/ smucking lips when you play with the baby,,"interjection, action, baby"
"ġġ, ġġu, ġġwa",,interj,,laugh/smile (said to the baby to make him laugh; first sounds made with newborns),Morocco,Semitic,Arabic,Arabic (Moroccan),Tetouane/Ceuta,,2024,,,"action, interjection, baby"
ġġu,,interj,,laugh/smile (said to the baby to make him laugh; first sounds made with newborns),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, interjection, baby"
ǧǧux,,v,,slaughter,Morocco,Amazigh (Berber),Senhaja,Zerqet,Ikherruden,,2025,,,action
ġġwa,,"interj, v:imp",,speak (said to the baby to make it speak or laugh),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,"action, interjection, baby"
ġlulu,,n,aserdun,"mule, donkey",Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,"Same as 'donkey'. If necessary, can be specified: ġlulu ameqqran 'big ġlulu' (for mule).",,animals
ġlulu,,n,,donkey,Algeria,Amazigh (Berber),,Tashawit,Ayt Busliman (Chennawra),,2024,,,
ġlulu,,n,aġyuř,donkey,Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,,,animals
"ġlulu, luluš",,n,"aserdun (Riff)
 asā[r]ḏun (Ayt Tuzin)","mule, donkey",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,,,animals
ġlulu; luluš,,n,aġyuř,"donkey, mule",Morocco,Amazigh (Berber),,Tarifiyt,Midar (Ayt Tuzin),,2014,"In many other parts of Morocco, the BT term for 'donkey' is šašša (from AT šša, šša used to stop a donkey). In the Riff, šašša is not used as BT for 'donkey'. Rather, it is a BT term for 'shoe' (Iqeraiyen). The terms ġlulu and luluš can refer to the donkey and to the mule.",,animals
gošo,goxo,adj,gozo,"sweet, tasty",Spain,Basque,,Basque,Navarra,,2024,Palatalization z~x gozo> goxo 'sweet; tasty'. Colloquial rather than CDS?,,
gua gua,,n,,1. dog; 2. baby (in Ecuador),"Spain, Ecuador",Romance,,Spanish,,Ferguson 1964,1964,"In Ferguson listed as free variants, gua guau and guau-guau both referring to a dog, area not specified. In Ecuador, only guau guau refers to the dog, because it contrasts with guagua referring to the baby (CDS and ADS, from aboriginal languages.)",,
guagua,,n,,baby,Ecuador,Romance,,Spanish,Ecuador,,2024,,"Not Spain. Ecuador, from Quechua. Cf. wa wa for crying baby",
guau guau,,n,,dog,"Spain, Ecuador",Romance,,Spanish,"Spain, Ecuador",Ferguson 1964,1964,,,
"guau guau, gua gua",,n,,dog,"Spain, Chile, Mexico",Romance,,Spanish,,Ferguson 1964,1964,,,
guau-guau,,n,perro,dog,Spain,Romance,,Spanish,"Spain, Galicia, Navarra, Ecudor",,2024,"Common (Spain, Ecuador)",,
guau-guau,,n,perro,dog,Spain,Romance,,Spanish,"Spain, Galicia",,2024,,,
guči-guči,quci-quci,v,"qucaqlamaq, to give a hug  ",to give a hug ,Azerbaijan,Turkic,,Azerbaijani ,,,2024,reduplication/rhyming pair,,
"güela, güelita, güeli",,n,abuela,grandmother,Spain,Romance,,Spanish,"Galicia, Asturias",,2024,,,
"güela, güelita, güeli",,n,abuela,grandmother,Spain,Romance,,Spanish,"Galicia, Asturias",,2024,,,
"güelo, güelito, güeli",,n,abuelo,grandfather,Spain,Romance,,Spanish,"Galicia, Asturias",,2024,,,
"güelo, güelito, güeli",,n,abuelo,grandfather,Spain,Romance,,Spanish,"Galicia, Asturias",,2024,,,
guggu,,n,"(ṯ)awwerṯ, ṭaqṭaq (sound);","door, knock-knock (the sound of knocking on the door)",Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025","From ṯaggurṯ, used in other Senhaja tribes for 'door'",,"object, world"
guggu,,n,aġrum,bread,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,"2015, 2025",not used in Ourzazate,,food
guggu,,n,,bread,Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,not used in Ourzazate,,food
ġuġġu,,n,ayfki,milk,Algeria,Amazigh (Berber),,Kabyle,Aṯ Yiraṯen,,1998,Not used in At Zmenzer.,,"food, drink"
ġuġġu,,n,,milk,Algeria,Amazigh (Berber),,Kabyle,At Yiraten,,1998,,,"food, drink"
ġuġu,,n,,"milk, buttermilk",Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
"ǧuǧu, žužžu",,n,"(ṯ)anwarṯ, PL nnuwwar/ nnwar ‘flower’; luɛba, aqežqul (SG, rare, more often used in PL) > žqaqel ‘toys’ (always PL; anything you can play with); munika (PL munikaṯ) 'doll'; ttrimbu (always SG) 'top'","nice small beautiful object; toy(s), doll, top, etc.",Morocco,Amazigh (Berber),Senhaja,Ketama,Bni Aisi,,2015,"Syn, /lullu/, some prefer only /lullu/ and say that /žužžu/ means 'walnut'; ǧuǧu/žužžu 'toy', might be from French jouer.",,"object, quality, positive"
"ǧuǧu, žužžu",,n,,"nice object, toy",Morocco,Amazigh (Berber),Senhaja,Mezduy,Ayt Mezduy,,2015,,,"object, quality, positive, world"
ġullu ġullu,,n,,bath,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
ġullu ġullu (ġullu ġullu),,n,,bath,Syria,Semitic,Arabic,Arabic (Syrian),unspecified,Ferguson 1964,1964,,,"body, body function"
"gwaɛa, ggʷaɛɛa",,n,aram,camel,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,"2015, 2024",,,animals
ḥa,,n,aġyuř,donkey (sound of a donkey),Morocco,Amazigh (Berber),,Tarifiyt,Ayt Said,,2014,"According to a speaker from er-Rich, the use of ḥa as a BT term for 'donkey' might originate from AT: in Egypt, they use ḥa (rather than šša) to make the donkey stop?",,animals
"ha huwa, ha hiya",,interj,"ha huwa, ha hiya (BT = adult)","here you are, here it is, hold",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,(BT = adult),,"interjection, action"
ḥa?ḥa?,,n,,carry on back,Syria,Semitic,Arabic,Arabic (Syrian),Syria,Ferguson 1964,1964,,,
habba (ḥabba?),,n,,dog,Libya,Amazigh (Berber),,Zwara,,,2014,,,
habbu,,n,iḡdi,dog,Morocco,Amazigh (Berber),,Tamazight,"Rashidia, Ayt Merghad",,2014,cf. hawhaw,,animals
habbu,,n,,dog,Morocco,Amazigh (Berber),,Tamazight,Goulmima Region,,2024,,,
ḥabbu,,n,iydi,dog,Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,"not used in Ourzazate, not used everywhere in Ayt Baamran (according to Abdellah, his relatives rather use hawhaw, daydi)",,animals
habhab,,n,,"dog, dog's sound",Algeria,Amazigh (Berber),,Tashawit,Ayt Sellem,,2024,,,animals
"habhab, habu",,n,l-kelb,dog,Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,"Cf. Berber habbu, haba.",,animals
"habhab, hawhaw",,n,,"dog, dog's sound",Algeria,Amazigh (Berber),,Tashawit,,,2024,,,animals
"habu, haḅu, haḅhaḅ",,n,,"dog, bow-wow",Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,,,animals
hafo,հաֆո,n,,dog,Armenia,Armenian,,Armenian,,,2024,,,
ḥaḥa,,v,ttwaɛteb,hurt: to be hurt,Algeria,Amazigh (Berber),,Tasahlit,Aït Bouyoucef (Tamridjet),,2017,The adult/standard term is from Arabic,,warning
ḥaḥa,,n,,clothes; dress (homonym: hurt oneself),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,homonymy,,"objects, clothes"
ḥaḥa,,"v, interj",,hurt oneself (homonym: clothes; dress),Morocco,Semitic,Arabic,Arabic (Moroccan),unspecified,Abu-Shams 2005,2005,homonymy,,"action, body, warning"
haha (ḥaḥa?),,n,l-ḥwayž,"clothes, clothing, dress",Morocco,Semitic,Arabic,Arabic (Moroccan),Fes,Caubet 1991,1991,if new: nunnu,,"body, clothes"
"ḥaḥa, ḥaḥḥa",,"n, interj","alam (Arabic and Berber); aḥ (interj.); Rashidia: ɛarrmeġ ‘it hurts me, I have pain’","pain, hurt",Morocco,Amazigh (Berber),,Tamazight,Ait Sadden,,2014,"Cf. ṭaḥṭaḥ, diddi.",,"body, warning, negative"
ḥaḥḥa,,n,?,clothes,Morocco,Amazigh (Berber),,Tashelhit,Taznaxt,,2015,ls ḥaḥḥa! wear clothes!,,"body, clothes"
ḥaḥḥa,,n,,goat/sheep and their sound,Algeria,Amazigh (Berber),,Tashawit,"Ayt Nacer (Batna province, village Tagoust El Hamra)",,2024,,,animals
ḥaḥḥa,,n,"ddrabel, lḥwayž ‘clothes’",clothes; dress,Morocco,Amazigh (Berber),Senhaja,Ketama,"Bni Aisi, Bni Hmed",,"2015, 2025",,,"body, clothes"
ḥaḥḥa,,n,iɛbanen (PL) (from iɛban?),clothes; dress,Morocco,Amazigh (Berber),,Tamazight,"Rich, Gourrama, Ksar tit n'Ali",,2015,,,"body, clothes"
ḥaḥḥa,,"n, v, interj",aḥ 'oh'! (interj.),"hurt, pain; it will hurt you, stop",Morocco,Amazigh (Berber),,Tashelhit,Ayt Ba’amran,Simenel,2015,,,"body, warning, negative, pain"
ḥaḥḥa,,"n, v, interj",,"hurt, pain; it will hurt you, stop",Morocco,Amazigh (Berber),,Tashelhit,Tafraout,,2024,,,"body, warning, negative, pain"
"ḥaḥḥa, ḥaḥa",,n,,clothes; dress,Morocco,Semitic,Arabic,Arabic (Moroccan),"Ketama: Azarmezdi, Bni Hasan",,2024,"In other regions, ḥaḥḥa is 'pain, hurt oneself' (interjection aḥ, pain)",,"body, clothes"
